kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,0.811,0,0,0,0,2.470613377,122.763305,0.818,1.74319,14230.9,13.04,1339.0,761.46,4304.3,1,q1_q17_dr25_tce,5820.0,4.457,0.964,286.80847,49.316399,11.338
10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,1.0,0,1,0,0,2.204735417,121.3585417,0.224,3.88864,6674.7,16.1,2048.0,4148.92,5945.9,1,q1_q17_dr25_tce,6440.0,4.019,1.952,292.24728,47.969521,10.463
10748390,K00003.01,Kepler-3 b,CONFIRMED,CANDIDATE,0.913,0,0,0,0,4.887803076,124.8130808,0.054,2.36255,4315.8,4.82,800.0,96.67,862.3,1,q1_q17_dr25_tce,4778.0,4.591,0.763,297.70935,48.080853,9.174
3861595,K00004.01,Kepler-1658 b,CONFIRMED,CANDIDATE,1.0,0,1,0,0,3.849371737,157.526686,0.915,2.632,1298.6,12.94,2034.0,4055.29,132.7,1,q1_q17_dr25_tce,6244.0,3.657,2.992,294.35654,38.94738,11.432
11853905,K00007.01,Kepler-4 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,3.213668926,123.611878,0.021,3.98235,727.8,4.13,1515.0,1244.44,346.9,1,q1_q17_dr25_tce,5795.0,4.101,1.545,285.61533,50.13575,12.211
6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,0.998,0,0,0,0,3.522498429,121.1194228,0.631,3.19843,9145.7,14.59,1521.0,1264.67,1741.5,1,q1_q17_dr25_tce,6225.0,4.169,1.451,281.28812,42.45108,13.563
5812701,K00012.01,Kepler-448 b,CONFIRMED,CANDIDATE,0.635,0,0,0,0,17.85522168,146.596466,0.075,7.41287,9065.2,13.16,911.0,163.04,915.7,1,q1_q17_dr25_tce,6823.0,4.308,1.367,297.45374,41.01099,11.353
9941662,K00013.01,Kepler-13 b,CONFIRMED,CANDIDATE,0.875,0,1,0,0,1.763587535,120.5659254,0.512,3.16877,4590.6,21.42,3559.0,37958.27,4061.9,1,q1_q17_dr25_tce,9107.0,3.867,3.031,286.97119,46.868359,9.958
10874614,K00017.01,Kepler-6 b,CONFIRMED,CANDIDATE,0.987,0,0,0,0,3.234699282,121.4865708,0.079,3.59385,10558.7,13.06,1356.0,797.62,3003.8,1,q1_q17_dr25_tce,5640.0,4.236,1.291,296.83725,48.239944,13.303
8191672,K00018.01,Kepler-5 b,CONFIRMED,CANDIDATE,0.754,0,1,0,0,3.548465446,122.9014315,0.075,4.56904,7251.5,14.92,1640.0,1708.28,2486.5,1,q1_q17_dr25_tce,6290.0,4.074,1.746,299.40701,44.035053,13.369
